ID	Lake	Date	Time	Latitude	Longitude	Fraksjon	diap.brac	limn.fron	sida.crys	holo.gibb	ceri.pulc	ceri.quad	daph.cris	daph.cucu	daph.gale	daph.lonr	daph.lons	scap.mucr	bosm.core	bosm.lonr	bosm.lons	alon.inte	alon.exci	alon.nana	alon.elon	chyd.pige	chyd.spha	pleu.trig	poly.pedi	byth.long	lept.kind	limn.macr	acan.dent	eudi.ilis	eudi.ides	arct.lati	mixo.laci	eury.lacu	hete.appe	hete.sali	macr.albi	eucy.serr	cycl.abys	cycl.boha	cycl.lacu	cycl.scut	cycl.vici	mega.giga	mega.viri	diac.bicu	meso.leuc	ther.cras	ther.oith
3020	Ljusnaren	05.08.2011	17:45	59.87920	14.93423	0.02	50	1	0	400	0	0	300	0	0	0	0	0	0	0	1650	0	0	0	0	0	0	0	0	0	1	200	0	800	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	100	0	700
3025	Halvarsnoren	04.08.2011	10:53	59.63177	14.59643	0.01	400	1	0	100	0	0	300	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	0	1	1	0	0	0	1	200	0	0	1	300	0	0	0	0	0	0	500	0	0	0	0	1	0	12100
3027	Nätsjön	03.08.2011	15:40	59.89130	14.48088	0.02	200	50	0	50	0	0	6400	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	1	1	0	0	250	0	0	0	50	1	0	0	0	0	0	0	850	0	0	0	0	150	0	2100
3029	Örlingen	04.08.2011	12:50	59.87902	14.41998	0.02	1	0	0	150	100	100	2350	0	0	0	1	0	1	500	1800	0	0	0	0	0	0	0	1	0	1	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	3000
3031	Saxen	04.08.2011	11:50	59.77375	14.40965	0.1	0	30	0	0	0	0	20	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	1	10	10	0	0	40	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	10	0	3310
3106	Långbjörken	02.08.2011	15:55	59.76797	15.95213	0.01	1100	1	0	0	100	0	4100	1400	0	0	0	0	200	0	1	0	0	0	0	0	1700	0	0	0	1	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3100	0	4100
3160	Skattungen	31.07.2011	15:39	61.19408	14.94515	0.05	0	0	0	20	0	0	120	0	0	0	0	0	1	80	60	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	1	0	0	0	0	0	0	20	0	0	0	0	40	0	3400
3165	Bäsingen	02.08.2011	17:15	60.16062	16.38945	0.2	95	0	0	0	45	0	55	0	0	0	0	0	30	0	290	0	0	0	0	0	20	0	0	0	55	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	730
3167	Tisken	01.08.2011	17:05	60.53093	15.67272	0.01	2400	100	0	100	0	0	1100	0	0	0	0	0	300	0	1100	0	0	0	0	0	200	0	0	1	1	0	0	3100	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1800	0	7400
3185	Stora Almsjön	31.07.2011	11:58	60.87842	13.20813	0.02	0	0	0	1	0	0	750	0	0	350	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	0	0	0	1	0	0	0	0	0	0	250	0	0	0	0	0	0	4050
3189	Dragsjön	31.07.2011	13:27	60.99265	13.59872	0.05	0	80	0	180	0	0	1260	0	0	0	0	0	0	20	220	1	0	0	0	0	0	0	40	1	1	0	0	680	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	40	0	1920
3201	Milsjön	03.08.2011	13:40	60.19463	14.00855	0.02	0	0	1	250	0	0	2450	0	0	0	0	0	0	200	950	0	0	0	0	0	0	0	1	0	50	0	0	1000	0	0	0	0	100	0	0	0	0	0	0	350	0	0	0	0	1	0	1700
3220	Stora Korslängen	05.08.2011	18:40	59.98293	15.23042	0.02	400	150	0	100	0	0	750	0	0	0	0	0	0	0	1450	0	0	0	0	0	0	0	0	1	1	50	0	100	1	0	0	1	50	0	0	0	0	0	0	1	0	0	0	0	1	1	4750
3384	Hinsen	01.08.2011	16:10	60.68212	16.07428	0.01	0	1100	0	1100	0	0	3300	0	2100	0	0	0	0	0	2500	0	0	0	0	0	0	0	1	1	1	0	0	1700	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	700	0	6700
3397	Storsjön	01.08.2011	13:37	61.65385	15.75923	0.02	0	0	0	1	0	0	150	0	0	0	0	0	0	7400	450	0	0	0	0	0	0	0	0	0	1	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	400
3399	Grycken	31.07.2011	16:55	61.57602	15.42448	0.02	400	0	0	1	50	0	4850	0	0	0	0	0	0	0	2100	0	0	0	0	0	0	0	1	0	1	0	0	550	0	0	0	0	1	0	0	0	0	0	0	350	0	0	0	0	400	0	1300
3516	Holmsjön	01.08.2011	11:51	62.41027	15.31322	0.02	300	150	0	1	0	0	4350	0	0	0	0	0	0	0	2800	0	0	0	0	0	0	0	50	1	1	0	0	1050	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	100	0	1200
3541	Stornaggen	01.08.2011	10:44	62.26660	15.97102	0.01	2300	1	0	1	0	0	1900	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	1	1	0	0	7300	0	0	0	0	100	0	0	1	0	0	0	1300	0	0	0	0	600	0	7700
5000	Forsjösjön	02.08.2011	10:00	58.95350	16.26353	0.002	3000	500	0	0	0	1000	1	23000	1	0	0	0	9500	500	1	0	0	0	0	0	5000	0	1	1	1	0	0	1500	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8000	14500	24500
10000	Hurdalsjøen	12.08.2011	11:05	60.37648	11.04077	0.02	0	1	0	250	0	0	600	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	1	1	50	100	0	300	0	0	0	0	100	0	0	0	1	0	0	1	0	0	0	0	50	0	4100
10001	Harestuvatnet	12.08.2011	13:10	60.19323	10.71212	0.05	40	0	0	1220	0	0	340	0	0	0	0	0	0	0	820	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	180	0	0	0	0	0	0	0	0	1	0	0	280	0	920
