"ID" "Lake" "Latitude" "Longitude" "Altitude" "Area.km2" "bio1" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19"
"62" 3106 "Långbjörken" 59.76797 15.95213 92 1.67 54 82 27 7548 218 -84 302 140 -6 154 -40 652 79 34 27 224 108 213 134
"63" 3160 "Skattungen" 61.19408 14.94515 200 19.5 38 85 26 8095 207 -110 317 130 -22 144 -66 642 84 30 33 236 100 232 117
"64" 3165 "Bäsingen" 60.16062 16.38945 67 12.74 51 81 26 7764 215 -90 305 140 -10 153 -47 617 80 31 29 220 100 208 123
"65" 3167 "Tisken" 60.53093 15.67272 107 63.5 48 88 27 8014 219 -100 319 139 -12 154 -54 621 83 29 32 228 96 218 115
"66" 3185 "Stora Almsjön" 60.87842 13.20813 463 2.04 24 78 25 7899 186 -116 302 128 -67 128 -77 697 92 32 33 254 106 254 123
"67" 3189 "Dragsjön" 60.99265 13.59872 451 1.44 26 80 26 7921 190 -115 305 130 -65 130 -75 694 93 32 33 253 106 253 123
"68" 3201 "Milsjön" 60.19463 14.00855 291 3.29 38 81 26 7657 200 -101 301 125 -22 139 -59 715 86 34 29 248 114 242 137
"69" 3220 "Stora Korslängen" 59.98293 15.23042 262 3.45 43 85 27 7641 210 -97 307 131 -17 145 -52 722 87 37 27 247 119 238 148
"70" 3384 "Hinsen" 60.68212 16.07428 191 11.9 42 86 27 8026 212 -106 318 133 -19 147 -60 638 85 31 31 232 102 221 123
"71" 3397 "Storsjön" 61.65385 15.75923 355 1.89 27 85 26 8253 197 -126 323 120 -34 134 -80 653 85 32 31 240 106 233 124
"72" 3399 "Grycken" 61.57602 15.42448 240 3.17 33 85 26 8202 203 -118 321 126 -27 140 -72 633 84 30 33 235 100 229 117
"73" 3516 "Holmsjön" 62.41027 15.31322 244 50.73 26 82 25 8266 193 -129 322 119 -70 133 -81 608 87 29 35 230 96 227 110
"74" 3541 "Stornaggen" 62.2666 15.97102 357 3.04 22 85 25 8361 192 -136 328 116 -40 131 -86 647 86 33 31 238 107 230 124
"75" 5000 "Forsjösjön" 58.9535 16.26353 27 1.87 63 75 26 7155 219 -63 282 147 4 159 -25 585 69 30 27 197 96 188 123
"76" 10000 "Hurdalsjøen" 60.37648 11.04077 176 32.81 35 75 24 7960 198 -103 301 124 -24 139 -67 747 90 38 29 255 119 248 139
"77" 10001 "Harestuvatnet" 60.19323 10.71212 234 1.98 39 74 25 7797 199 -95 294 127 -19 141 -61 775 94 39 28 263 125 252 145
